0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,SansText,well well well,,,,,,,
0,SansText,if it isnt nenjamin           betanyahu,,,,,,
0,SansTorso,Default,,
0,SansAnimation,Idle,,
0,HeartTeleport,315,304,,,,,,
0,Sound,Ding,,
0,SansHead,LookLeft,,,
0,SansText,uhhhhh,,,,,,
0,SansText,i was going to say          something,,,,,,
0,SansText,but i forgot.,,,,,
0,SansHead,default,,,,,,
0,CombatZoneResize,133,251,508,391,,,,
0.5,BoneVRepeat,128,366,20,0,120,8,76
0,BoneVRepeat,513,257,107,2,120,8,76
0.4,GasterBlaster,1,640,480,449,366,180,2.4,0.9
0.2,GasterBlaster,1,640,480,379,446,270,2.2,0.2
3.9,GasterBlaster,1,0,0,189,176,45,1.3,0.8
7.2,Platform,15,346,61,0,120,,
0,sound,ding,,
0,sound,warning,,
0,sound,heartsplit,,
0,SansSlam,1,,
0,BoneStab,1,35,0.3,7.5,,
0.9,PlatformRepeat,552,346,51,2,120,8,140,
0.2,GasterBlaster,1,640,480,379,446,270,2.2,0.2
1.9,GasterBlaster,1,0,0,189,176,45,1.3,0.8
0.4,GasterBlaster,1,640,480,449,366,180,2.4,0.9
0.2,GasterBlaster,1,640,480,379,446,270,2.2,0.2
3.9,GasterBlaster,1,0,0,189,176,45,1.3,0.8
0.8,GasterBlaster,1,640,0,449,176,135,0.5,0.2
0.3,GasterBlaster,1,640,480,449,436,225,0.2,0.2
0.9,GasterBlaster,1,0,480,189,436,315,0.1,0.2
1.9,GasterBlaster,1,0,0,189,246,0,0.3,0.7
0.7,GasterBlaster,1,0,0,259,166,90,0.3,0.8
0.1,GasterBlaster,1,640,480,449,366,180,0.3,0.9
1.9,GasterBlaster,1,0,0,189,176,45,1.3,0.8
0.8,GasterBlaster,1,640,0,449,176,135,0.5,0.2
0.3,GasterBlaster,1,640,480,449,436,225,0.2,0.2
0.9,GasterBlaster,1,0,480,189,436,315,0.1,0.2
1.9,GasterBlaster,1,0,0,189,246,0,0.3,0.7
0.7,GasterBlaster,1,0,0,259,166,90,0.3,0.8
0.1,GasterBlaster,1,640,480,449,366,180,0.3,0.9
0.2,GasterBlaster,1,640,480,379,446,270,0.9,0.3
6.5,EndAttack,,
