0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SansText,up the plumbing,,,,,,,
0,Sound,Ding,,,,,,,
0,Platform,15,346,61,0,120,,
0.4,BoneVRepeat,133,356,40,0,120,41,15
1.2,Platform,-61,346,61,0,150,,
1.7,Platform,-61,346,61,0,180,,
0.2,GasterBlaster,1,100,0,300,190,90,0.066,0.1
0.5,GasterBlaster,1,100,0,300,190,90,0.566,0.3
0.5,GasterBlaster,1,100,0,300,190,90,0.066,0.51
1,BoneV,133,257,45,0,210,,
0,BoneV,119,257,45,0,210,,
0,BoneV,105,257,45,0,210,,
0,BoneV,105,257,45,0,210,,
0,BoneV,105,257,45,0,210,,
2.3,BoneV,133,257,95,0,270,,
0,PlatformRepeat,552,346,51,2,120,6,140,
0,bonestab,1,5,0.3,2,,,
0.3,GasterBlaster,0.7,640,286,560,326,180,0.6,0.1
0.9,GasterBlaster,0.7,640,286,560,336,180,0.7,0.9
1,GasterBlaster,0.7,640,286,560,276,180,0.3,0.01
1.2,sansslam,3,,,,,,
0.5,bonestab,3,15,0.5,0.3,,,
0.3,HeartMode,0,,,,,
0.5,gasterblaster,1,170,0,170,200,90,0.2,0.5
0.2,gasterblaster,1,330,0,330,200,90,0.2,0.5
0.2,gasterblaster,1,410,0,410,200,90,0.2,0.5
0.2,gasterblaster,1,490,0,490,200,90,0.2,0.5
0.2,gasterblaster,1,640,270,550,270,180,0.2,0.5
0,gasterblaster,1,640,370,550,370,180,0.2,0.5
0.7,gasterblaster,1,640,320,550,320,180,0.2,0.5
1,gasterblaster,2,320,0,320,200,90,0.5,1
0.2,gasterblaster,1,640,270,550,270,180,0.2,0.5
0,gasterblaster,1,0,370,120,370,0,0.2,0.5
0,sansslam,1,,,,,
0,PlatformRepeat,552,346,51,2,120,6,140,
0.2,bonestab,1,25,0.1,7,,,,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
1.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.2,0.2
1,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
1.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.2,0.2
1,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
1.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.2,0.2
1,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
1.4,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
1.2,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.2,0.2
1,GetHeartpos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,200,,,,,
1.7,EndAttack,,,,,,,
